"animal","Sire","Dam","Pop","Generation","Sex","Stage","Date","Time","Temp","Mass","Injured","Observer","Camera","Emerged","Latency.S","Latency.Cens","OF.Dist","UZ","OF.Var.Velo","AP.Dist","AP.Lat.Mov","AP.Var.Velo","Understimate.AP","Latency.unt.cen","Latency.unt.up","Latency.cen","Latency.up","JDate_dev","OF.Dist.sqrt","UZ.sqrt","OF.Var.Velo.log","AP.Dist.sqrt","AP.Lat.Mov.sqrt","AP.Var.Velo.log","UZ.log","AP.Lat.Mov.log"
30002,20167,"20173","Dunn","F2","M","A",2018-08-21,14.2633333333333,26.1,619,"N","BK","New",1,182,182,1016.48,20,61.4173,1344.89,0.599994,32.9935,"N",182,182,13.490737563232,13.490737563232,121,31.8822834815827,4.47213595499958,4.13384248054022,36.6727419209418,0.774592796248455,3.52616932986902,2.99573227355399,0.469999879238704
30003,20167,"20173","Dunn","F2","F","A",2018-08-27,12.8133333333333,25.8,915,"N","MAB","New",0,NA,395,122.179,14,2.08879,NA,NA,NA,"N",395,Inf,19.8746069143518,Inf,127,11.0534609964481,3.74165738677394,1.12777942845941,NA,NA,NA,2.63905732961526,NA
30004,20167,"20173","Dunn","F2","M","A",2018-08-27,15.48,25.9,711,"N","JD","New",1,99,99,1116.83,28,61.6123,NA,NA,NA,"N",99,99,9.9498743710662,9.9498743710662,127,33.4190065681193,5.29150262212918,4.13696174442828,NA,NA,NA,3.3322045101752,NA
30005,20167,"20173","Dunn","F2","M","A",2018-08-22,11.1633333333333,25.4,517,"N","IDJ","New",0,NA,395,575.211,25,29.2142,975.327,0.033333,15.1217,"N",395,Inf,19.8746069143518,Inf,122,23.9835568671538,5,3.40831201254756,31.2302257436606,0.182573272961844,2.78016619057514,3.2188758248682,0.0327895002422937
30006,20167,"20173","Dunn","F2","M","A",2018-08-21,13.4966666666667,25.9,559,"N","BK","New",1,19,19,1116.06,27,68.5483,1866.23,0.033333,42.8224,"N",19,19,4.35889894354067,4.35889894354067,121,33.4074841914203,5.19615242270663,4.24202147522385,43.1998842591042,0.182573272961844,3.78014510217916,3.29583686600433,0.0327895002422937
30007,20167,"20173","Dunn","F2","M","A",2018-08-23,12.08,25.6,538,"N","IDJ","New",1,207,207,28.124,1,0.0169066,5.9339,NA,0.000485187,"N",207,207,14.3874945699382,14.3874945699382,123,5.30320657715688,1,0.0167652741075912,2.43595976978274,NA,0.000485069334845711,0,NA
30008,20167,"20173","Dunn","F2","F","A",2018-08-21,12.7633333333333,25.4,705,"N","BK","New",1,330,330,155.934,11,7.67577,987.05,1.26665,17.1215,"N",330,330,18.1659021245849,18.1659021245849,121,12.4873536027455,3.3166247903554,2.16053408270083,31.4173518934999,1.12545546335695,2.89709907864559,2.39789527279837,0.818302970545742
30009,20167,"20173","Dunn","F2","M","A",2018-08-31,14.5133333333333,26.4,577,"N","HL","New",1,114,114,186.637,19,5.35499,677.821,12.1332,7.34936,"N",114,114,10.6770782520313,10.6770782520313,131,13.6615152893081,4.35889894354067,1.84924033107606,26.0349956788934,3.4832743216692,2.12218488921867,2.94443897916644,2.57514337529998
30011,20152,"20145","Dunn","F2","M","A",2018-08-27,14.8633333333333,25.8,617,"N","JD","New",1,376,376,753.864,26,30.0914,NA,NA,NA,"N",376,376,19.3907194296653,19.3907194296653,127,27.4565839098749,5.09901951359278,3.43693125361327,NA,NA,NA,3.25809653802148,NA
30013,20141,"20175","Dunn","F2","M","A",2018-09-05,13.38,26.5,530,"N","MAB","New",1,307,307,93.3829,1,0.229661,560.973,5.89994,8.65683,"N",307,307,17.5214154679352,17.5214154679352,136,9.66348280900836,1,0.20673852164088,23.6848685873492,2.42897920946228,2.26766543701912,0,1.93151271591323
30014,20141,"20175","Dunn","F2","F","A",2018-08-30,12.88,25.2,610,"N","BK","New",1,120,120,142.608,14,1.4582,729.591,3.89996,9.77941,"N",120,120,10.9544511501033,10.9544511501033,130,11.9418591517402,3.74165738677394,0.899429374798743,27.010942227179,1.97483163839351,2.37763783299975,2.63905732961526,1.58922704181796
30016,20155,"20140","Dunn","F2","M","A",2018-09-12,16.38,26.5,330,"N","RR","New",1,113,113,33.7399,1,0.0435524,1494.05,7.76659,42.1765,"N",113,113,10.6301458127346,10.6301458127346,143,5.80860568467167,1,0.0426306618948643,38.6529429668686,2.7868602404857,3.76529636575698,0,2.17094790523022
30017,20155,"20140","Dunn","F2","M","A",2018-08-27,12.8133333333333,25.8,358,"N","MAB","New",1,128,128,723.924,25,25.1673,NA,NA,NA,"N",128,128,11.3137084989848,11.3137084989848,127,26.9058357982056,5,3.264510539649,NA,NA,NA,3.2188758248682,NA
30018,20176,"20177","Dunn","F2","F","A",2018-09-12,12.2966666666667,25.8,812,"N","RR","New",0,NA,395,79.5014,1,0.251929,476.186,1.26665,6.84481,"N",395,Inf,19.8746069143518,Inf,143,8.91635575781945,1,0.2246855618047,21.8216864609498,1.12545546335695,2.05985216664378,0,0.818302970545742
30019,20176,"20177","Dunn","F2","F","A",2018-08-27,13.88,25.9,639,"Y","MAB","New",1,176,176,76.832,1,1.08937,239.855,52.4661,2.79402,"N",176,176,13.2664991614216,13.2664991614216,127,8.76538647179918,1,0.736862585129237,15.4872528228863,7.24334867309313,1.33342614298021,0,3.9790478082044
30020,20176,"20177","Dunn","F2","F","A",2018-08-21,14.2633333333333,26.1,859,"N","BK","New",1,331,331,37.3342,1,0.0389224,1209.56,11.6665,29.3382,"N",331,331,18.1934053986603,18.1934053986603,121,6.11017184701052,1,0.0381840221286325,34.7787291314677,3.41562585773091,3.41240764454013,0,2.53896071307697
30021,20176,"20177","Dunn","F2","F","A",2018-09-12,15.53,26.2,915,"N","RR","New",0,NA,395,28.6579,2,0.054036,893.629,1.83332,19.6271,"N",395,Inf,19.8746069143518,Inf,143,5.3533073888952,1.4142135623731,0.0526266051336044,29.89362808359,1.35400147710407,3.02660574521944,0.693147180559945,1.04144916893474
30022,20176,"20177","Dunn","F2","F","A",2018-08-23,12.08,25.6,462,"N","IDJ","New",1,204,204,87.461,2,0.315695,7.44794,NA,0.000718651,"N",204,204,14.2828568570857,14.2828568570857,123,9.35205859690796,1.4142135623731,0.274365043124017,2.72909142389917,NA,0.000718392894021347,0.693147180559945,NA
30023,20176,"20177","Dunn","F2","M","A",2018-10-23,13.1633333333333,26.4,707,"N","BK","New",0,NA,395,197.809,16,5.74771,2094.26,32.4663,60.6667,"N",395,Inf,19.8746069143518,Inf,184,14.0644587524725,4,1.90920318806374,45.7630855603072,5.69792067336849,4.12174407695061,2.77258872223978,3.5105389623542
30024,20070,"20128","ABQ","F2","F","A",2018-09-05,13.83,26.5,799,"N","MAB","New",0,NA,395,424.839,26,6.64831,575.107,0.033333,5.60371,"N",395,Inf,19.8746069143518,Inf,136,20.6116229346454,5.09901951359278,2.03448470840044,23.9813886170088,0.182573272961844,1.88763161231355,3.25809653802148,0.0327895002422937
30025,20078,"20131","ABQ","F2","M","A",2018-09-05,12.73,26.1,517,"N","MAB","New",0,NA,395,89.7244,1,0.310668,983.977,0.033333,20.2723,"N",395,Inf,19.8746069143518,Inf,136,9.47229644806369,1,0.270536930910291,31.3684076739639,0.182573272961844,3.05740575688753,0,0.0327895002422937
30026,20014,"20137","ABQ","F2","F","A",2018-08-30,10.2966666666667,25.2,711,"N","BK","New",1,40,40,366.822,22,6.38894,652.396,0.033333,7.22904,"N",40,40,6.32455532033676,6.32455532033676,130,19.1525977350332,4.69041575982343,1.9999842875949,25.5420437710063,0.182573272961844,2.1076693614697,3.09104245335832,0.0327895002422937
30027,20014,"20137","ABQ","F2","M","A",2018-08-21,12.7633333333333,25.4,534,"N","BK","New",1,302,302,483.044,20,15.791,266.621,1.46665,2.24046,"N",302,302,17.3781471969828,17.3781471969828,121,21.9782619877005,4.47213595499958,2.82084302857733,16.328533308292,1.21105326059592,1.17571529503534,2.99573227355399,0.902860954762431
30028,20014,"20137","ABQ","F2","M","A",2018-09-12,11.3966666666667,25.4,575,"N","RR","New",1,143,143,551.979,20,6.14217,222.626,50.7662,1.73173,"N",143,143,11.9582607431014,11.9582607431014,143,23.4942333350122,4.47213595499958,1.96601665174532,14.9206568220035,7.12504035076293,1.00493510812774,2.99573227355399,3.94673742663585
30029,20014,"20137","ABQ","F2","M","A",2018-08-31,13.7633333333333,26.1,498,"N","HL","New",1,170,170,31.9167,1,0.0345555,366.452,1.19999,2.47247,"N",170,170,13.0384048104053,13.0384048104053,131,5.64948670234739,1,0.0339718658702471,19.1429360339526,1.09544055064618,1.24486615630019,0,0.788452814899394
30030,20191,"20301","LC","F2","M","A",2018-09-12,12.2966666666667,25.8,517.778474399164,"N","RR","New",0,NA,395,779.608,22,54.8573,943.727,3.06664,13.3145,"N",395,Inf,19.8746069143518,Inf,143,27.9214612798113,4.69041575982343,4.02280022422533,30.7201399736394,1.7511824576554,2.66127300954328,3.09104245335832,1.40281710567255
30031,20191,"20301","LC","F2","M","A",2018-08-30,13.73,26.2,671,"N","BK","New",0,NA,395,278.462,26,9.42482,344.264,82.7992,5.92526,"N",395,Inf,19.8746069143518,Inf,130,16.6871807085559,5.09901951359278,2.34418950134875,18.5543525890827,9.09940657405745,1.93517559649496,3.25809653802148,4.42842346090309
30032,20191,"20301","LC","F2","F","A",2018-08-21,13.4966666666667,25.9,414,"N","BK","New",0,NA,395,72.0891,2,0.248005,193.82,30.5997,2.3379,"N",395,Inf,19.8746069143518,Inf,121,8.49053001879152,1.4142135623731,0.221546276349467,13.9219251542306,5.53169955800204,1.20534186673217,0.693147180559945,3.45314762687692
30033,20191,"20301","LC","F2","M","A",2018-08-30,10.2966666666667,25.2,610,"N","BK","New",0,NA,395,920.365,20,41.3316,391.382,6.43327,6.14758,"N",395,Inf,19.8746069143518,Inf,130,30.3375180263646,4.47213595499958,3.74553385207033,19.7833768603846,2.53638916572359,1.96677383787642,2.99573227355399,2.00596586958229
30034,20191,"20301","LC","F2","M","A",2018-08-31,13.7633333333333,26.1,470,"N","HL","New",0,NA,395,417.811,20,11.7978,699.169,1.93331,10.4773,"N",395,Inf,19.8746069143518,Inf,131,20.4404256315763,4.47213595499958,2.54927328115337,26.4418040231751,1.39043518367452,2.4403711715919,2.99573227355399,1.07613147823896
30035,20191,"20301","LC","F2","F","A",2018-08-30,10.2966666666667,25.2,667,"N","BK","New",0,NA,395,955.117,20,50.5069,1094.38,5.43328,13.8526,"N",395,Inf,19.8746069143518,Inf,130,30.9049672382936,4.47213595499958,3.94171577927762,33.0814147218646,2.33093972466042,2.69817493409835,2.99573227355399,1.86148451705293
30036,20191,"20301","LC","F2","F","A",2018-09-25,10.23,26.5,554,"N","BK","New",1,8,8,951.138,29,23.8519,660.032,27.6664,6.61528,"N",8,8,2.82842712474619,2.82842712474619,156,30.8405252873553,5.3851648071345,3.21293420837233,25.6910879489367,5.25988593032206,2.03015675520496,3.36729582998647,3.35572570521655
